Finished: True Number of tries: 1920 Number of failures: 0 Number of results: 1920
UTF-8 String: ''   , Hex: 0xc2 0x80
UTF-8 String: ''   , Hex: 0xc2 0x81
UTF-8 String: ''   , Hex: 0xc2 0x82
UTF-8 String: ''   , Hex: 0xc2 0x83
UTF-8 String: ''   , Hex: 0xc2 0x84
UTF-8 String: ''   , Hex: 0xc2 0x85
UTF-8 String: ''   , Hex: 0xc2 0x86
UTF-8 String: ''   , Hex: 0xc2 0x87
UTF-8 String: ''   , Hex: 0xc2 0x88
UTF-8 String: ''   , Hex: 0xc2 0x89
UTF-8 String: ''   , Hex: 0xc2 0x8a
UTF-8 String: ''   , Hex: 0xc2 0x8b
UTF-8 String: ''   , Hex: 0xc2 0x8c
UTF-8 String: ''   , Hex: 0xc2 0x8d
UTF-8 String: ''   , Hex: 0xc2 0x8e
UTF-8 String: ''   , Hex: 0xc2 0x8f
UTF-8 String: ''   , Hex: 0xc2 0x90
UTF-8 String: ''   , Hex: 0xc2 0x91
UTF-8 String: ''   , Hex: 0xc2 0x92
UTF-8 String: ''   , Hex: 0xc2 0x93
UTF-8 String: ''   , Hex: 0xc2 0x94
UTF-8 String: ''   , Hex: 0xc2 0x95
UTF-8 String: ''   , Hex: 0xc2 0x96
UTF-8 String: ''   , Hex: 0xc2 0x97
UTF-8 String: ''   , Hex: 0xc2 0x98
UTF-8 String: ''   , Hex: 0xc2 0x99
UTF-8 String: ''   , Hex: 0xc2 0x9a
UTF-8 String: ''   , Hex: 0xc2 0x9b
UTF-8 String: ''   , Hex: 0xc2 0x9c
UTF-8 String: ''   , Hex: 0xc2 0x9d
UTF-8 String: ''   , Hex: 0xc2 0x9e
UTF-8 String: ''   , Hex: 0xc2 0x9f
UTF-8 String: ' '   , Hex: 0xc2 0xa0
UTF-8 String: '¡'   , Hex: 0xc2 0xa1
UTF-8 String: '¢'   , Hex: 0xc2 0xa2
UTF-8 String: '£'   , Hex: 0xc2 0xa3
UTF-8 String: '¤'   , Hex: 0xc2 0xa4
UTF-8 String: '¥'   , Hex: 0xc2 0xa5
UTF-8 String: '¦'   , Hex: 0xc2 0xa6
UTF-8 String: '§'   , Hex: 0xc2 0xa7
UTF-8 String: '¨'   , Hex: 0xc2 0xa8
UTF-8 String: '©'   , Hex: 0xc2 0xa9
UTF-8 String: 'ª'   , Hex: 0xc2 0xaa
UTF-8 String: '«'   , Hex: 0xc2 0xab
UTF-8 String: '¬'   , Hex: 0xc2 0xac
UTF-8 String: '­'   , Hex: 0xc2 0xad
UTF-8 String: '®'   , Hex: 0xc2 0xae
UTF-8 String: '¯'   , Hex: 0xc2 0xaf
UTF-8 String: '°'   , Hex: 0xc2 0xb0
UTF-8 String: '±'   , Hex: 0xc2 0xb1
UTF-8 String: '²'   , Hex: 0xc2 0xb2
UTF-8 String: '³'   , Hex: 0xc2 0xb3
UTF-8 String: '´'   , Hex: 0xc2 0xb4
UTF-8 String: 'µ'   , Hex: 0xc2 0xb5
UTF-8 String: '¶'   , Hex: 0xc2 0xb6
UTF-8 String: '·'   , Hex: 0xc2 0xb7
UTF-8 String: '¸'   , Hex: 0xc2 0xb8
UTF-8 String: '¹'   , Hex: 0xc2 0xb9
UTF-8 String: 'º'   , Hex: 0xc2 0xba
UTF-8 String: '»'   , Hex: 0xc2 0xbb
UTF-8 String: '¼'   , Hex: 0xc2 0xbc
UTF-8 String: '½'   , Hex: 0xc2 0xbd
UTF-8 String: '¾'   , Hex: 0xc2 0xbe
UTF-8 String: '¿'   , Hex: 0xc2 0xbf
UTF-8 String: 'À'   , Hex: 0xc3 0x80
UTF-8 String: 'Á'   , Hex: 0xc3 0x81
UTF-8 String: 'Â'   , Hex: 0xc3 0x82
UTF-8 String: 'Ã'   , Hex: 0xc3 0x83
UTF-8 String: 'Ä'   , Hex: 0xc3 0x84
UTF-8 String: 'Å'   , Hex: 0xc3 0x85
UTF-8 String: 'Æ'   , Hex: 0xc3 0x86
UTF-8 String: 'Ç'   , Hex: 0xc3 0x87
UTF-8 String: 'È'   , Hex: 0xc3 0x88
UTF-8 String: 'É'   , Hex: 0xc3 0x89
UTF-8 String: 'Ê'   , Hex: 0xc3 0x8a
UTF-8 String: 'Ë'   , Hex: 0xc3 0x8b
UTF-8 String: 'Ì'   , Hex: 0xc3 0x8c
UTF-8 String: 'Í'   , Hex: 0xc3 0x8d
UTF-8 String: 'Î'   , Hex: 0xc3 0x8e
UTF-8 String: 'Ï'   , Hex: 0xc3 0x8f
UTF-8 String: 'Ð'   , Hex: 0xc3 0x90
UTF-8 String: 'Ñ'   , Hex: 0xc3 0x91
UTF-8 String: 'Ò'   , Hex: 0xc3 0x92
UTF-8 String: 'Ó'   , Hex: 0xc3 0x93
UTF-8 String: 'Ô'   , Hex: 0xc3 0x94
UTF-8 String: 'Õ'   , Hex: 0xc3 0x95
UTF-8 String: 'Ö'   , Hex: 0xc3 0x96
UTF-8 String: '×'   , Hex: 0xc3 0x97
UTF-8 String: 'Ø'   , Hex: 0xc3 0x98
UTF-8 String: 'Ù'   , Hex: 0xc3 0x99
UTF-8 String: 'Ú'   , Hex: 0xc3 0x9a
UTF-8 String: 'Û'   , Hex: 0xc3 0x9b
UTF-8 String: 'Ü'   , Hex: 0xc3 0x9c
UTF-8 String: 'Ý'   , Hex: 0xc3 0x9d
UTF-8 String: 'Þ'   , Hex: 0xc3 0x9e
UTF-8 String: 'ß'   , Hex: 0xc3 0x9f
UTF-8 String: 'à'   , Hex: 0xc3 0xa0
UTF-8 String: 'á'   , Hex: 0xc3 0xa1
UTF-8 String: 'â'   , Hex: 0xc3 0xa2
UTF-8 String: 'ã'   , Hex: 0xc3 0xa3
UTF-8 String: 'ä'   , Hex: 0xc3 0xa4
UTF-8 String: 'å'   , Hex: 0xc3 0xa5
UTF-8 String: 'æ'   , Hex: 0xc3 0xa6
UTF-8 String: 'ç'   , Hex: 0xc3 0xa7
UTF-8 String: 'è'   , Hex: 0xc3 0xa8
UTF-8 String: 'é'   , Hex: 0xc3 0xa9
UTF-8 String: 'ê'   , Hex: 0xc3 0xaa
UTF-8 String: 'ë'   , Hex: 0xc3 0xab
UTF-8 String: 'ì'   , Hex: 0xc3 0xac
UTF-8 String: 'í'   , Hex: 0xc3 0xad
UTF-8 String: 'î'   , Hex: 0xc3 0xae
UTF-8 String: 'ï'   , Hex: 0xc3 0xaf
UTF-8 String: 'ð'   , Hex: 0xc3 0xb0
UTF-8 String: 'ñ'   , Hex: 0xc3 0xb1
UTF-8 String: 'ò'   , Hex: 0xc3 0xb2
UTF-8 String: 'ó'   , Hex: 0xc3 0xb3
UTF-8 String: 'ô'   , Hex: 0xc3 0xb4
UTF-8 String: 'õ'   , Hex: 0xc3 0xb5
UTF-8 String: 'ö'   , Hex: 0xc3 0xb6
UTF-8 String: '÷'   , Hex: 0xc3 0xb7
UTF-8 String: 'ø'   , Hex: 0xc3 0xb8
UTF-8 String: 'ù'   , Hex: 0xc3 0xb9
UTF-8 String: 'ú'   , Hex: 0xc3 0xba
UTF-8 String: 'û'   , Hex: 0xc3 0xbb
UTF-8 String: 'ü'   , Hex: 0xc3 0xbc
UTF-8 String: 'ý'   , Hex: 0xc3 0xbd
UTF-8 String: 'þ'   , Hex: 0xc3 0xbe
UTF-8 String: 'ÿ'   , Hex: 0xc3 0xbf
UTF-8 String: 'Ā'   , Hex: 0xc4 0x80
UTF-8 String: 'ā'   , Hex: 0xc4 0x81
UTF-8 String: 'Ă'   , Hex: 0xc4 0x82
UTF-8 String: 'ă'   , Hex: 0xc4 0x83
UTF-8 String: 'Ą'   , Hex: 0xc4 0x84
UTF-8 String: 'ą'   , Hex: 0xc4 0x85
UTF-8 String: 'Ć'   , Hex: 0xc4 0x86
UTF-8 String: 'ć'   , Hex: 0xc4 0x87
UTF-8 String: 'Ĉ'   , Hex: 0xc4 0x88
UTF-8 String: 'ĉ'   , Hex: 0xc4 0x89
UTF-8 String: 'Ċ'   , Hex: 0xc4 0x8a
UTF-8 String: 'ċ'   , Hex: 0xc4 0x8b
UTF-8 String: 'Č'   , Hex: 0xc4 0x8c
UTF-8 String: 'č'   , Hex: 0xc4 0x8d
UTF-8 String: 'Ď'   , Hex: 0xc4 0x8e
UTF-8 String: 'ď'   , Hex: 0xc4 0x8f
UTF-8 String: 'Đ'   , Hex: 0xc4 0x90
UTF-8 String: 'đ'   , Hex: 0xc4 0x91
UTF-8 String: 'Ē'   , Hex: 0xc4 0x92
UTF-8 String: 'ē'   , Hex: 0xc4 0x93
UTF-8 String: 'Ĕ'   , Hex: 0xc4 0x94
UTF-8 String: 'ĕ'   , Hex: 0xc4 0x95
UTF-8 String: 'Ė'   , Hex: 0xc4 0x96
UTF-8 String: 'ė'   , Hex: 0xc4 0x97
UTF-8 String: 'Ę'   , Hex: 0xc4 0x98
UTF-8 String: 'ę'   , Hex: 0xc4 0x99
UTF-8 String: 'Ě'   , Hex: 0xc4 0x9a
UTF-8 String: 'ě'   , Hex: 0xc4 0x9b
UTF-8 String: 'Ĝ'   , Hex: 0xc4 0x9c
UTF-8 String: 'ĝ'   , Hex: 0xc4 0x9d
UTF-8 String: 'Ğ'   , Hex: 0xc4 0x9e
UTF-8 String: 'ğ'   , Hex: 0xc4 0x9f
UTF-8 String: 'Ġ'   , Hex: 0xc4 0xa0
UTF-8 String: 'ġ'   , Hex: 0xc4 0xa1
UTF-8 String: 'Ģ'   , Hex: 0xc4 0xa2
UTF-8 String: 'ģ'   , Hex: 0xc4 0xa3
UTF-8 String: 'Ĥ'   , Hex: 0xc4 0xa4
UTF-8 String: 'ĥ'   , Hex: 0xc4 0xa5
UTF-8 String: 'Ħ'   , Hex: 0xc4 0xa6
UTF-8 String: 'ħ'   , Hex: 0xc4 0xa7
UTF-8 String: 'Ĩ'   , Hex: 0xc4 0xa8
UTF-8 String: 'ĩ'   , Hex: 0xc4 0xa9
UTF-8 String: 'Ī'   , Hex: 0xc4 0xaa
UTF-8 String: 'ī'   , Hex: 0xc4 0xab
UTF-8 String: 'Ĭ'   , Hex: 0xc4 0xac
